0.285492,0.925489,0.750487,0.146442,3
0.108722,0.191947,0.677036,0.913894,1
0.953282,0.571914,0.842086,0.962837,2
0.336022,0.272715,0.040553,0.750660,4
0.718787,0.243740,0.337866,0.751996,4
0.539003,0.506516,0.922682,0.212091,4
0.102374,0.760696,0.514709,0.835061,3
0.537490,0.668916,0.810224,0.626988,4
0.284415,0.066366,0.879954,0.667035,4
0.087187,0.279165,0.844707,0.842231,4
0.469997,0.273068,0.960228,0.076261,1
0.389731,0.560101,0.895025,0.759583,2
0.186559,0.009599,0.407324,0.883190,3
0.635978,0.466513,0.357101,0.078574,4
0.755748,0.852559,0.087525,0.380049,2
0.093759,0.338402,0.275081,0.092368,3
0.784477,0.353709,0.629471,0.571525,3
0.476741,0.412533,0.191107,0.775852,4
0.321027,0.158128,0.293598,0.388825,1
0.403828,0.688225,0.789899,0.965752,3
0.338322,0.936221,0.999517,0.191590,1
0.437604,0.793837,0.500763,0.578653,3
0.945570,0.205566,0.112400,0.863291,3
0.413239,0.171290,0.561292,0.795749,1
0.506868,0.953449,0.881980,0.065948,3
0.124906,0.309025,0.561780,0.168707,1
0.304439,0.166087,0.696006,0.946163,1
0.355254,0.518814,0.356322,0.776649,2
0.225999,0.511997,0.856609,0.351416,4
0.191139,0.592072,0.666230,0.708261,3
0.861155,0.213990,0.346000,0.018159,2
0.952847,0.135326,0.567054,0.908198,4
0.905986,0.351978,0.486312,0.534178,1
0.593982,0.923798,0.385771,0.556426,3
0.325164,0.752517,0.495325,0.761327,4
0.871788,0.501926,0.909869,0.901445,1
0.112815,0.629861,0.183161,0.291762,2
0.477356,0.152033,0.969736,0.584889,1
0.775919,0.182257,0.937344,0.114919,3
0.841493,0.499777,0.491660,0.044896,2
0.085709,0.131752,0.824037,0.532044,3
0.205040,0.733085,0.404041,0.445767,1
0.520610,0.440175,0.943887,0.049557,3
0.725707,0.898169,0.895902,0.036913,1
0.628445,0.161631,0.538974,0.380413,1
0.796713,0.559239,0.082583,0.522187,3
0.702892,0.631008,0.349371,0.248496,4
0.602287,0.096967,0.638875,0.770482,1
0.255454,0.109465,0.961929,0.576614,3
0.953532,0.702288,0.402343,0.632210,1
0.538143,0.029771,0.618196,0.693167,4
0.859133,0.210048,0.682042,0.565175,4
0.201454,0.516531,0.737262,0.663387,1
0.450148,0.569167,0.526444,0.197274,1
0.739788,0.767691,0.513903,0.488761,3
0.721266,0.034500,0.272646,0.449532,3
0.651634,0.567733,0.205581,0.186558,1
0.090889,0.469383,0.617171,0.177524,4
0.849537,0.876049,0.599405,0.564571,2
0.918041,0.058723,0.793930,0.849444,2
0.346429,0.029052,0.221595,0.647454,3
0.413973,0.537892,0.575049,0.616262,2
0.478111,0.945100,0.460948,0.408931,1
0.990749,0.566522,0.243819,0.155039,4
0.871775,0.822675,0.104572,0.115975,1
0.809505,0.778757,0.737283,0.895633,2
0.899070,0.385864,0.240582,0.600220,4
0.736426,0.623880,0.704526,0.485162,3
0.703155,0.525598,0.387352,0.518440,4
0.274466,0.818766,0.840493,0.455036,4
0.060445,0.789081,0.592335,0.749566,2
0.685815,0.838935,0.841104,0.862670,3
0.593423,0.655225,0.378484,0.168450,3
0.903534,0.157993,0.575269,0.212505,2
0.512661,0.530157,0.522934,0.521697,4
0.012527,0.425570,0.575751,0.431254,2
0.453260,0.702231,0.391736,0.638536,3
0.852731,0.120021,0.755001,0.530120,2
0.954504,0.047608,0.316951,0.216143,2
0.189026,0.336090,0.762109,0.969311,2
0.576700,0.966169,0.276126,0.917920,3
0.713243,0.827027,0.064128,0.988018,1
0.264396,0.876173,0.829366,0.769025,2
0.473055,0.011557,0.133501,0.202883,2
0.364066,0.571804,0.803235,0.059360,4
0.441958,0.440664,0.310152,0.617727,3
0.450426,0.950940,0.791577,0.410792,4
0.874751,0.647570,0.844258,0.795883,4
0.497581,0.941761,0.431989,0.374106,2
0.374381,0.114318,0.683355,0.223080,4
0.003605,0.395352,0.824910,0.645155,3
0.702254,0.359510,0.540455,0.005384,2
0.512916,0.005425,0.512169,0.618493,3
0.290527,0.379952,0.477064,0.304896,3
0.013285,0.382870,0.708928,0.764105,2
0.890521,0.078287,0.770340,0.920684,4
0.186054,0.843218,0.558123,0.098344,4
0.931129,0.993615,0.458222,0.326072,1
0.189344,0.688994,0.352181,0.986197,1
0.745322,0.038563,0.303300,0.937080,2
